country,designation,points,price,province,variety,winery
US,Stephanie,86,50.0,California,Cabernet Sauvignon,Hestan
US,Bella's Blend,86,48.0,California,Cabernet Sauvignon-Cabernet Franc,Ehret
US,Tears of Dew Late Harvest,86,20.0,California,Moscato,EOS
US,Tudor Hills Vineyard,86,17.0,Washington,Pinot Grigio,Martinez & Martinez
US,Homestead Block,86,45.0,California,Chardonnay,Kuleto Estate
Portugal,Companhia das LezÃ­rias Herdade de Catapereiro Single Vineyard,86,12.0,Tejo,Portuguese Red,Wines & Winemakers
Argentina,Terroir Ãnico Pinot Noir,86,12.0,Mendoza Province,RosÃ©,Zorzal
US,Limited Release Cold Springs Vineyard,86,125.0,California,Cabernet Sauvignon,Charles Krug
US,Castle Hill Vineyard,86,25.0,New York,Riesling,Millbrook
South Africa,Circumstance,86,20.0,Stellenbosch,Sauvignon Blanc,Waterkloof
Argentina,Reserva,86,15.0,Mendoza Province,Malbec,ViÃ±alba
France,Il est des nÃ´Ã´Ã´tres!,86,15.0,Southwest France,Gamay,ChÃ¢teau Coutinel
Portugal,Convento da Vila,86,7.0,Alentejano,Portuguese Red,Adega Cooperativa de Borba
US,The Flyer,91,59.0,California,Pinot Noir,MacPhail
US,Charles Vineyard Clone 05,91,49.0,California,Pinot Noir,Foursight
US,Solomon Hills Vineyard RosÃ©,91,42.0,California,Sparkling Blend,Goat Bubbles
US,Paris Tasting Commemorative,91,93.0,California,Chardonnay,Grgich Hills
US,Methode a l'Ancienne,91,32.0,California,Pinot Noir,Navarro
US,Grand Wren,90,100.0,California,Zinfandel,Renwood
US,Central Park West Vineyard,90,50.0,California,Cabernet Sauvignon,Trinchero
Spain,Arnegui Reserva,90,22.0,Northern Spain,Tempranillo,Pagos del Rey
Italy,Chianta Bianco,90,45.0,Sicily & Sardinia,White Blend,Biondi
US,Cooper Ranch,90,26.0,California,Barbera,Andis
US,Longwood,90,30.0,California,Cabernet Sauvignon,Beaucanon
US,Estate,90,42.0,California,Grenache,Brecon Estate
US,Mustang Springs,90,38.0,California,Zinfandel,Peachy Canyon
US,SMC,90,48.0,California,RhÃ´ne-style Red Blend,Three
Spain,Crianza,90,17.0,Northern Spain,Tempranillo,Valdelacierva
France,Le,90,18.0,Languedoc-Roussillon,RosÃ©,ChÃ¢teau de Lancyre
US,Rte Blanc,90,28.0,California,Sauvignon Blanc,Clif Family
US,Hook Vineyard,90,25.0,California,Grenache,Santa Cruz Mountain Vineyard
US,Jespersen Ranch,90,24.0,California,AlbariÃ±o,Stephen Ross
US,Estate Grown,90,36.0,California,Zinfandel,Grgich Hills
Greece,Kapnias,89,24.0,Atalanti Valley,White Blend,Hatzimichalis
Spain,Brut Reserva,89,17.0,Catalonia,Sparkling Blend,Bohigas
Greece,Axia Malagouzia,89,18.0,Florina,Malagouzia,Alpha Estate
Chile,Ecos de Rulo Single Vineyard El ChequÃ©n Estate,89,20.0,Marchigue,CarmenÃ¨re,ViÃ±a Bisquertt
Spain,ViÃ±a Real Gran Reserva,89,44.0,Northern Spain,Tempranillo,CVNE
Chile,Fina Reserva Ensamblaje Malbec-Cabernet Sauvignon-Syrah,89,19.0,Colchagua Valley,Red Blend,Estampa
US,Range 30 West,89,42.0,California,Bordeaux-style Red Blend,Foxen 7200
Spain,Gaudium,89,44.0,Northern Spain,Tempranillo Blend,MarquÃ©s de CÃ¡ceres
US,Mill Road Vineyard,89,23.0,California,Viognier,Eberle
US,Freedom Hill Vineyard,89,36.0,Oregon,Pinot Noir,Silvan Ridge
Italy,Le Redini,89,25.0,Tuscany,Red Blend,Tenuta degli Dei
Italy,Il Guardiano,89,22.0,Tuscany,Red Blend,Poggio Mandorlo
US,Del Arroyo Vineyard,89,25.0,California,Chardonnay,Occasio
Chile,Family Collection,89,30.0,CuricÃ³ Valley,Cabernet Sauvignon-Cabernet Franc,Santa Alba
US,Charles Vineyard Clone O5,89,49.0,California,Pinot Noir,Foursight
France,HÃ©ritages ElevÃ© en Foudres de ChÃªne,89,16.0,RhÃ´ne Valley,RhÃ´ne-style Red Blend,Ogier
Spain,Gran Bajoz,89,30.0,Northern Spain,Tinta de Toro,Pagos del Rey
Italy,Palazzo Altesi,89,40.0,Tuscany,Sangiovese,Altesino
Italy,Il Borgo,89,57.0,Tuscany,Red Blend,Cabreo
US,Lot 525,89,29.0,California,Cabernet Sauvignon,Cameron Hughes
Chile,Perla Negra,89,61.0,Maule Valley,Red Blend,Casa Donoso
US,Estate Reserve,88,25.0,California,Syrah,San Simeon
US,Sonatera Vineyard,88,49.0,California,Pinot Noir,Siduri
US,Boushey Vineyard,88,20.0,Washington,Picpoul,Syncline
Argentina,TrinitÃ  Grand Reserve,88,26.0,Mendoza Province,Bordeaux-style Red Blend,Piattelli
US,Entwined,88,34.0,Washington,Bordeaux-style Red Blend,Pondera
US,French Camp Vineyard,88,38.0,California,Zinfandel,Tobin James
Spain,Sobre LÃ­as,88,25.0,Northern Spain,Godello,Valdesil
Spain,Negre,87,22.0,Catalonia,Red Blend,Jaspi
Argentina,Reserve,87,15.0,Mendoza Province,Malbec,Tupun
US,RosÃ© of,87,18.0,Washington,Malbec,Hamilton
US,Ingle Vineyard Unoaked,87,18.0,New York,Chardonnay,Heron Hill
US,Semi-Dry,87,14.0,New York,Riesling,Heron Hill
US,Semi-Dry,87,14.0,New York,Riesling,Fox Run
US,Ice Wine,87,40.0,New York,Cabernet Franc,Glenora
US,Weinbau,87,32.0,Washington,Grenache,Sol Stone
Spain,YÃ¡ CuvÃ©e 23 Brut RosÃ©,87,18.0,Catalonia,Sparkling Blend,Sumarroca
Portugal,Reserva,93,55.0,Douro,Portuguese Red,PoÃ§as
Italy,Nervo,93,49.0,Piedmont,Nebbiolo,Rizzi
US,Rocky Ridge Vineyard,93,50.0,California,Zinfandel,Robert Biale
Italy,Fausoni,93,58.0,Piedmont,Nebbiolo,Sottimano
France,Rosacker Grand Cru,93,39.0,Alsace,Riesling,Domaine Jean-Luc Mader
France,Clos HÃ¤userer Wintzenheim,93,65.0,Alsace,Riesling,Domaine Zind-Humbrecht
Morocco,Domaine Excelcio,93,35.0,Guerrouane,Syrah-Grenache,Bernard Magrez
France,Pfingstberg Paradis Grand Cru,93,42.0,Alsace,Riesling,Domaine FranÃ§ois Schmitt
France,Altenberg de Bergheim Grand Cru Vieilles Vignes,93,61.0,Alsace,Riesling,Gustave Lorentz
US,Collaboration Series VI Ciel du Cheval Vineyard,93,58.0,Washington,G-S-M,Force Majeure
US,Hastings Ranch Vineyard,93,38.0,California,MourvÃ¨dre,Anglim
France,Heissenberg,93,48.0,Alsace,Riesling,Domaine Ostertag
US,Stagecoach Vineyards The Biale Block,93,50.0,California,Zinfandel,Robert Biale
Italy,PajorÃ¨,93,58.0,Piedmont,Nebbiolo,Sottimano
US,Estate,93,50.0,California,Syrah,Red Car
US,Collaboration Series V Ciel du Cheval Vineyard,93,80.0,Washington,Cabernet Sauvignon,Force Majeure
US,White Hawk Vineyard,93,40.0,California,Syrah,Mulvane Wine Co.
Portugal,Quinta dos Quatro Ventos Reserva,93,41.0,Douro,Portuguese Red,Caves AlianÃ§a
US,Double Canyon Vineyard,93,48.0,Washington,Cabernet Sauvignon,Double Canyon
US,Red Rock Terrace,93,200.0,California,Cabernet Sauvignon,Diamond Creek
US,Ciel du Cheval Vineyard,93,39.0,Washington,Petit Verdot,CÃ´tes de Ciel
US,Kingpin,93,62.0,Washington,Cabernet Sauvignon,Sparkman
France,Domaine Saint-RÃ©my Schlosberg Grand Cru,92,35.0,Alsace,Riesling,Domaine Ehrhart
France,Pfersigberg Grand Cru,92,48.0,Alsace,Riesling,Domaine Zinck
France,Calcaire,92,55.0,Alsace,Riesling,Domaine Zind-Humbrecht
Portugal,Dona Maria Reserva,92,40.0,Alentejano,Portuguese Red,Dona Maria-JÃºlio Bastos
Italy,Coste Rubin,92,69.0,Piedmont,Nebbiolo,Fontanafredda
US,Estate,88,36.0,Oregon,Pinot Noir,Coeur de Terre
Romania,La Umbra,88,9.0,Colinele Dobrogei,RosÃ©,Cramele Halewood
US,Limited Selection,88,24.0,California,Chardonnay,Daniel Gehrs
US,CuvÃ©e Luke Saralee's Vineyard,88,30.0,California,RhÃ´ne-style White Blend,Davis Family
US,Wits' End,88,60.0,Oregon,Pinot Noir,Roco
US,Toyon Farm,88,54.0,California,Pinot Noir,Saintsbury
US,Early,88,15.0,Oregon,Muscat,Silvan Ridge
Italy,Bussia,88,56.0,Piedmont,Nebbiolo,Silvano Bolmida
US,Estate,88,20.0,California,Sauvignon Blanc,St. SupÃ©ry
US,Guidotti Vineyard,88,61.0,California,Pinot Noir,Testarossa
Spain,Prestigio,88,30.0,Northern Spain,Tempranillo,Val de Los Frailes
Spain,Crianza,88,17.0,Central Spain,Tempranillo Blend,Yuntero
US,Querida,88,40.0,California,Cabernet Sauvignon-Merlot,Oso Libre
US,Primoroso,88,39.0,California,Red Blend,Oso Libre
Italy,del Comune di Serralunga d'Alba,88,49.0,Piedmont,Nebbiolo,Palladino
France,Domaine de Saint-Pierre,88,23.0,Loire Valley,Sauvignon Blanc,Pierre Prieur et Fils
US,Anna's Estate Vineyard,88,32.0,California,MourvÃ¨dre,Adelaida
Argentina,Single Vineyard Reserva,88,15.0,Mendoza Province,Cabernet Sauvignon,Lamadrid
France,Pertuisots Premier Cru,92,92.0,Burgundy,Pinot Noir,Domaine de Bellene
France,Clos du Cailleret Premier Cru,92,94.0,Burgundy,Chardonnay,Domaine Vincent Girardin
US,Haynes Vineyard,92,58.0,California,Chardonnay,Failla
US,Suzuri Series Shake Ridge Ranch,92,50.0,California,RhÃ´ne-style Red Blend,Gallica
US,Vintage Brut,92,48.0,California,Sparkling Blend,J Vineyards & Winery
Italy,Sirmian,92,27.0,Northeastern Italy,Pinot Bianco,Nals Margreid
Portugal,Portal do Fidalgo,92,35.0,Vinho Verde,Alvarinho,Provam
Portugal,Mirabilis Grande Reserva,92,95.0,Douro,Portuguese White,Quinta Nova de Nossa Senhora do Carmo
US,Solomon Hills Vineyard,92,43.0,California,Pinot Noir,Ryan Cochrane
Italy,Monte Carbonare,92,33.0,Veneto,Garganega,Suavia
Italy,Quarz,92,60.0,Northeastern Italy,Sauvignon,Cantina Terlano
France,RÃ©serve,92,30.0,Bordeaux,Bordeaux-style Red Blend,ChÃ¢teau Haut Selve
US,Lampyridae Vineyards,92,100.0,California,Cabernet Sauvignon,Communication Block
US,Le Mistral Vineyard,92,35.0,California,Syrah,Baker & Brain
France,Les Charmes Dessus,91,60.0,Burgundy,Chardonnay,Domaine de Bellene
France,CuvÃ©e Germain,91,16.0,Southwest France,Bordeaux-style Red Blend,Domaine D'en SÃ©gur
France,Quintessence,91,40.0,Burgundy,Chardonnay,Domaine Sangouard-Guyot
US,Clay Court,91,60.0,Oregon,Pinot Noir,Elk Cove
US,Kruse Vineyards,91,42.0,California,Syrah,Jack Creek
US,RosÃ© of,91,20.0,California,Pinot Noir,Brick & Mortar
Italy,Prail,91,25.0,Northeastern Italy,Sauvignon,Colterenzio
Italy,Puiten,91,23.0,Northeastern Italy,Pinot Grigio,Colterenzio
US,Estate Grown,91,38.0,California,Pinot Noir,Cuvaison
US,Nova Vineyard,91,32.0,California,Zinfandel,De Loach
US,Estate Bottled,94,30.0,California,Riesling,Smith-Madrone
Italy,Vigneto Monte Sant'Urbano,94,85.0,Veneto,Red Blend,Speri
US,White,94,30.0,California,Riesling,Stony Hill
US,Sierra Madre Vineyard,94,65.0,California,Pinot Noir,Testarossa
US,BergstrÃ¶m Vineyard,94,90.0,Oregon,Pinot Noir,BergstrÃ¶m
US,Angel Hawk,94,85.0,California,Pinot Noir,Black Kite
US,King Ridge Vineyard Hirsch Selection,94,70.0,California,Pinot Noir,Blue Farm
US,Evenstad Reserve,94,70.0,Oregon,Pinot Noir,Domaine Serene
US,Bacigalupi Vineyard,94,60.0,California,Pinot Noir,Gary Farrell
Italy,Contrada Salvarenza Vecchie Vigne,94,38.0,Veneto,Garganega,Gini
Italy,La FroscÃ ,94,29.0,Veneto,Garganega,Gini
US,Outer Limits,94,155.0,California,Cabernet Sauvignon,Parallel
US,Durant Vineyard Bishop Block,94,48.0,Oregon,Pinot Noir,Patricia Green Cellars
US,Godspeed,94,95.0,California,Cabernet Sauvignon,Sbragia
US,Tognetti Vineyard Brut,94,80.0,California,Sparkling Blend,Schramsberg
US,Ribbon Ridge Estate,94,49.0,Oregon,Pinot Noir,Trisaetum
France,ChÃ¢teau Montus,94,35.0,Southwest France,Tannat-Cabernet,Vignobles Brumont
US,Old Stones,94,50.0,Washington,Syrah,Waters
France,La BÃ©gude,94,44.0,Provence,Provence red blend,Domaine de la BÃ©gude
Spain,QP,94,68.0,Northern Spain,Tempranillo Blend,Bodega Classica
US,Pellet Vineyard,94,95.0,California,Cabernet Sauvignon,Pellet Estate
Argentina,Alta Barrancas Vineyards,94,50.0,Mendoza Province,Cabernet Sauvignon,Pascual Toso
France,Garrus,94,100.0,Provence,RosÃ©,ChÃ¢teau d'Esclans
France,CuvÃ©e Marguerite Massaut,94,70.0,Southwest France,Malbec,ChÃ¢teau LagrÃ©zette
US,Aurora Vineyard,94,63.0,Oregon,Chardonnay,Ponzi
Italy,Monvigliero,91,75.0,Piedmont,Nebbiolo,Fratelli Alessandria
Germany,Graacher Himmelreich Kabinett,91,23.0,Mosel,Riesling,Friedrich-Wilhelm-Gymnasium
US,Latro,91,50.0,California,Cabernet Sauvignon,Galerie
Spain,Etiqueta Ambar,91,22.0,Galicia,AlbariÃ±o,GranbazÃ¡n
US,Grieve Family Vineyard,91,45.0,California,Sauvignon Blanc,Grieve
Portugal,Grande Rocim Reserva,91,130.0,Alentejano,Alicante Bouschet,Herdade do Rocim
US,XCV,91,38.0,California,RhÃ´ne-style White Blend,Jada Vineyard & Winery
US,RosÃ© of,91,22.0,California,Syrah,Lawer
Italy,Coste di Rose,91,90.0,Piedmont,Nebbiolo,Marchesi di Barolo
US,Emblem Oso Vineyard,91,60.0,California,Cabernet Sauvignon,Michael Mondavi Family Estate
Italy,Brunate,91,115.0,Piedmont,Nebbiolo,Oddero
US,Estate CuvÃ©e,91,55.0,California,Pinot Noir,Small Vines
Portugal,Telhas,91,30.0,Alentejano,RhÃ´ne-style Red Blend,Terras de Alter
Portugal,Terra d'Alter,91,14.0,Alentejano,AragonÃªs,Terras de Alter
US,Lone Oak Vineyard,91,48.0,California,Chardonnay,Testarossa
US,Starr Ridge Vineyard Estate,91,40.0,California,Chardonnay,Thomas George
Germany,Saulheimer Probstey Trocken,91,39.0,Rheinhessen,Silvaner,ThÃ¶rle
Italy,Paesi Tuoi,91,60.0,Piedmont,Nebbiolo,Vite Colte
US,Sierra Madre Vineyard,91,50.0,California,Chardonnay,Wedell Cellars
US,Juliard Vineyard,91,48.0,Oregon,Pinot Noir,Winderlea
France,Grand Cru Blanc de Blancs Chouilly Brut,91,54.0,Champagne,Chardonnay,A.R. LenobleÂ 
Portugal,Garrafeira,91,42.0,Alentejo,Portuguese Red,Adega Cooperativa de Borba
US,Brut RosÃ©,91,50.0,Oregon,Sparkling Blend,Argyle
US,Rosella's Vineyard,91,40.0,California,Chardonnay,Bernardus
Italy,Parej,91,85.0,Piedmont,Nebbiolo,Icardi
Spain,Crianza,91,32.0,Northern Spain,Tempranillo,Matarromera
US,Cuore della Vigne,90,41.0,California,Red Blend,Le Vigne
US,Kiler Grove Vineyard,90,27.0,California,Ugni Blanc,Paix Sur Terre
US,Winemaker's Reserve,90,29.0,Oregon,GrÃ¼ner Veltliner,Reustle
France,Galets OligocÃ¨ne,90,33.0,Alsace,Pinot Noir,Domaine Bott-Geyl
Germany,Dry,90,25.0,WÃ¼rttemberg,Lemberger,Schnaitmann
France,Vieilles Vignes,90,27.0,Alsace,Sylvaner,Domaine Ostertag
France,Vieilles Vignes,90,22.0,Alsace,Chasselas,Domaine Schoffit
France,Zind,90,30.0,Alsace,Alsace white blend,Domaine Zind-Humbrecht
US,Sisters Estate,90,45.0,Oregon,Pinot Noir,The Eyrie Vineyards
France,Domaine du Pavillon Clos des Ursulines,90,80.0,Burgundy,Pinot Noir,Albert Bichot
Germany,Bernkasteler Badstube Kabinett,90,31.0,Mosel,Riesling,Dr. H. Thanisch (Erben Thanisch)
US,Classic Collection,90,24.0,California,Merlot,Napa Cellars
US,Rector Creek Vineyard,90,80.0,California,Red Blend,Paraduxx
Spain,Reserva,90,35.0,Northern Spain,Tempranillo,Quintana de Cue
Germany,Trocken,90,40.0,Ahr,FrÃ¼burgunder,Winzergenossenschaft Mayschoss-Altenahr
Spain,Orquestal,90,28.0,Central Spain,Tempranillo,Casa del Valle
US,Olson Vineyard,90,28.0,California,Cabernet Sauvignon,JoletÃ©
US,The Truant,90,36.0,California,RhÃ´ne-style Red Blend,Prospect 772
US,Proprietor's Reserve,90,50.0,California,Chardonnay,Hearst Ranch
US,Cabovation Destiny Vineyards Mt. Christo Block Reserve,90,75.0,California,Cabernet Sauvignon,Hunt Cellars
US,Seven Hills Vineyard,90,46.0,Washington,Malbec,Merry Cellars
Canada,Compendium,90,70.0,British Columbia,Bordeaux-style Red Blend,Mission Hill
Spain,AlbariÃ±o de FefiÃ±anes,90,26.0,Galicia,AlbariÃ±o,Palacio de FefiÃ±anes
Italy,Villa al Cortile Riserva,90,60.0,Tuscany,Sangiovese,Piccini
Italy,Riserva,90,75.0,Tuscany,Sangiovese,Pietranera
Moldova,Alb de Purcari,90,32.0,Moldova,White Blend,Purcari
Italy,Riserva,90,95.0,Tuscany,Sangiovese,Renieri
US,Trois Fleurs,90,20.0,California,White Blend,Carlson
France,CuvÃ©e Setier,90,27.0,RhÃ´ne Valley,RhÃ´ne-style Red Blend,ChÃ¢teau PÃ©gau
France,CuvÃ©e de Nalys,90,20.0,RhÃ´ne Valley,RhÃ´ne-style Red Blend,Kirkland Signature
US,Kate's + B's,90,75.0,California,Cabernet Sauvignon,Medlock Ames
US,New Generation,90,28.0,California,Sauvignon Blanc,Passaggio
US,Signpost,90,22.0,California,Chardonnay,Trig Point
Spain,Mirlo Blanco,90,49.0,Spain Other,White Blend,Valquejigoso
Hungary,Steiner,90,35.0,Sopron,Kekfrankos,Weninger
US,Elevation Annadel Gap Vineyard Estate,90,38.0,California,RhÃ´ne-style Red Blend,Westwood
Italy,Berardo Riserva,90,30.0,Tuscany,Sangiovese,Castello di Bossi
Italy,Riserva,90,35.0,Tuscany,Sangiovese,Cafaggio
US,Rapscallion,87,30.0,California,Zinfandel,League of Rogues
Spain,Crianza,87,27.0,Northern Spain,Tempranillo,Trus
US,Chandler Vineyard,87,30.0,California,Chardonnay,McGrail
US,Freakshow,87,20.0,California,Cabernet Sauvignon,Michael David
US,Reserve,87,23.0,Idaho,Cabernet Sauvignon,3 Horse Ranch Vineyards
US,Southern,87,22.0,Washington,RhÃ´ne-style White Blend,Cairdeas
Italy,Vigna Poggio Ronconi,87,75.0,Tuscany,Sangiovese,Citille di Sopra
Italy,Filo di Seta,87,98.0,Tuscany,Sangiovese,Castello Romitorio
US,Unoaked,87,22.0,Idaho,Chardonnay,Hat Ranch
US,Chicken Dinner,87,16.0,Idaho,White Blend,Huston
Italy,Pagliatura,87,28.0,Tuscany,Vermentino,Fattoria di Magliano
Spain,Buleria Fino,87,25.0,Andalucia,Sherry,Bodegas Dios Baco S.L.
Italy,ScirÃ¨,87,17.0,Tuscany,Red Blend,Ceralti
US,Dry,87,17.0,Idaho,Riesling,Coiled
Spain,Crianza,87,15.0,Northern Spain,Tempranillo,Condado de Oriza
Spain,Premium,87,16.0,Andalucia,Sherry,Delgado Zuleta
Spain,Roble 4 Meses en Barrica,87,15.0,Northern Spain,Tempranillo Blend,SeÃ±orÃ­o de Sotillo
US,U50,87,38.0,Idaho,Tempranillo,Vale
Spain,Brunus,87,28.0,Catalonia,Red Blend,Portal del Montsant
Italy,Riserva,87,52.0,Tuscany,Sangiovese,La Collina dei Lecci
Italy,Vigna Manapetra Riserva,87,58.0,Tuscany,Sangiovese,Fattoria La Lecciaia
Portugal,Superior,86,15.0,Douro,RosÃ©,Colinas do Douro
Italy,Senza Solfiti Aggiunti,86,15.0,Veneto,White Blend,Latium di Morini
US,Cannon Block,86,26.0,California,Chardonnay,Lawer
Portugal,Conde Vimioso Colheita Seleccionada,86,10.0,Tejo,Portuguese Red,Falua
Argentina,Alma Mora,86,10.0,Other,Sauvignon Blanc,Finca Las Moras
Portugal,Duas Quintas Branco,86,12.0,Douro,Portuguese White,Ramos-Pinto
US,Estate Grown Cabernet,86,35.0,Washington,RosÃ©,Obelisco Estate
US,Porter and Plot,86,31.0,California,Cabernet Sauvignon,Winc
US,Reserve,86,18.0,California,Pinot Noir,Angeline
US,Estate Vineyard,86,24.0,California,Chardonnay,Eberle
Portugal,Portal da Vinha,86,15.0,Alentejano,Portuguese Red,Companhia das Quintas
US,Osborn Ranch,86,38.0,California,Primitivo,DeLorimier
Portugal,Cabriz,86,13.0,DÃ£o,Touriga Nacional,Global Wines
US,The Deep Six,86,32.0,California,Red Blend,Hawk Watch Winery
France,Bastide de Beauvert,89,11.0,RhÃ´ne Valley,Grenache-Syrah,Les Vignobles Foncalieu
Italy,Montesodi,89,43.0,Tuscany,Sangiovese,Marchesi de' Frescobaldi
