country,wine_type,price_dollars,ratings_points
US,Cabernet Sauvignon,95,94
US,Sparkling Blend,80,94
US,Pinot Noir,49,94
France,Tannat-Cabernet,35,94
US,Syrah,50,94
France,Provence red blend,44,94
Spain,Tempranillo Blend,68,94
US,Cabernet Sauvignon,95,94
Argentina,Cabernet Sauvignon,50,94
France,RosÃ©,100,94
France,Malbec,70,94
US,Chardonnay,63,94
Italy,Nebbiolo,75,91
Germany,Riesling,23,91
US,Cabernet Sauvignon,50,91
Spain,AlbariÃ±o,22,91
US,Sauvignon Blanc,45,91
Portugal,Alicante Bouschet,130,91
US,RhÃ´ne-style White Blend,38,91
US,Syrah,22,91
Italy,Nebbiolo,90,91
US,Cabernet Sauvignon,60,91
Italy,Nebbiolo,115,91
US,Pinot Noir,55,91
Portugal,RhÃ´ne-style Red Blend,30,91
Portugal,AragonÃªs,14,91
US,Chardonnay,48,91
US,Chardonnay,40,91
Germany,Silvaner,39,91
Italy,Nebbiolo,60,91
US,Chardonnay,50,91
US,Pinot Noir,48,91
France,Chardonnay,54,91
Portugal,Portuguese Red,42,91
US,Sparkling Blend,50,91
US,Chardonnay,40,91
Italy,Nebbiolo,85,91
Spain,Tempranillo,32,91
US,Red Blend,41,90
US,Ugni Blanc,27,90
US,GrÃ¼ner Veltliner,29,90
France,Pinot Noir,33,90
Germany,Lemberger,25,90
France,Sylvaner,27,90
France,Chasselas,22,90
France,Alsace white blend,30,90
US,Pinot Noir,45,90
France,Pinot Noir,80,90
Germany,Riesling,31,90
US,Merlot,24,90
US,Red Blend,80,90
Spain,Tempranillo,35,90
Germany,FrÃ¼burgunder,40,90
Spain,Tempranillo,28,90
US,Cabernet Sauvignon,28,90
US,RhÃ´ne-style Red Blend,36,90
US,Chardonnay,50,90
US,Cabernet Sauvignon,75,90
US,Malbec,46,90
Canada,Bordeaux-style Red Blend,70,90
Spain,AlbariÃ±o,26,90
Italy,Sangiovese,60,90
Italy,Sangiovese,75,90
Moldova,White Blend,32,90
Italy,Sangiovese,95,90
US,White Blend,20,90
France,RhÃ´ne-style Red Blend,27,90
France,RhÃ´ne-style Red Blend,20,90
US,Cabernet Sauvignon,75,90
US,Sauvignon Blanc,28,90
US,Chardonnay,22,90
Spain,White Blend,49,90
Hungary,Kekfrankos,35,90
US,RhÃ´ne-style Red Blend,38,90
Italy,Sangiovese,30,90
Italy,Sangiovese,35,90
US,Zinfandel,30,87
Spain,Tempranillo,27,87
US,Chardonnay,30,87
US,Cabernet Sauvignon,20,87
US,Cabernet Sauvignon,23,87
US,RhÃ´ne-style White Blend,22,87
Italy,Sangiovese,75,87
Italy,Sangiovese,98,87
US,Chardonnay,22,87
US,White Blend,16,87
Italy,Vermentino,28,87
Spain,Sherry,25,87
Italy,Red Blend,17,87
US,Riesling,17,87
Spain,Tempranillo,15,87
Spain,Sherry,16,87
Spain,Tempranillo Blend,15,87
US,Tempranillo,38,87
Spain,Red Blend,28,87
Italy,Sangiovese,52,87
Italy,Sangiovese,58,87
Portugal,RosÃ©,15,86
Italy,White Blend,15,86
US,Chardonnay,26,86
Portugal,Portuguese Red,10,86
Argentina,Sauvignon Blanc,10,86
Portugal,Portuguese White,12,86
US,RosÃ©,35,86
US,Cabernet Sauvignon,31,86
US,Pinot Noir,18,86
US,Chardonnay,24,86
Portugal,Portuguese Red,15,86
US,Primitivo,38,86
Portugal,Touriga Nacional,13,86
US,Red Blend,32,86
France,Grenache-Syrah,11,89
Italy,Sangiovese,43,89
France,Red Blend,19,89
France,White Blend,28,89
Germany,Riesling,26,89
US,Bordeaux-style Red Blend,30,89
Italy,Cabernet Sauvignon,55,89
US,Pinot Noir,46,89
US,Red Blend,43,89
US,Syrah,39,89
Italy,Red Blend,30,89
Italy,Cabernet Sauvignon,45,89
France,Grenache-Syrah,15,89
US,Zinfandel,65,89
Chile,Red Blend,19,89
US,Zinfandel,60,89
US,Pinot Noir,44,89
Spain,AlbariÃ±o,25,89
Italy,Red Blend,30,89
Spain,Sparkling Blend,18,89
US,Chardonnay,30,92
Portugal,Portuguese Red,23,92
US,Zinfandel,45,92
US,Bordeaux-style Red Blend,125,92
US,Red Blend,40,92
Canada,Riesling,17,92
US,Chardonnay,60,92
US,Chardonnay,68,92
Portugal,Baga,40,92
US,Chardonnay,32,92
US,Syrah,45,92
US,Chardonnay,66,92
France,Riesling,29,92
France,Riesling,63,92
US,Chardonnay,32,92
US,Chardonnay,55,92
Italy,Nebbiolo,45,92
US,Viognier,20,92
Italy,Nebbiolo,50,92
Portugal,Portuguese Red,23,92
US,Chardonnay,32,92
Chile,Bordeaux-style Red Blend,30,92
US,Viognier,35,92
US,Chardonnay,44,92
US,Cabernet Franc,24,90
Germany,Riesling,22,90
France,Pinot Noir,50,90
US,Pinot Noir,23,90
US,Pinot Noir,49,90
Germany,Riesling,17,90
France,Chardonnay,59,90
France,Sylvaner,24,90
France,White Blend,20,90
France,Pinot Blanc,20,90
US,Zinfandel,42,90
Italy,Moscato,22,90
US,Pinot Noir,48,90
Spain,Tempranillo,20,90
Spain,Tempranillo Blend,17,90
US,Merlot,22,90
US,Pinot Noir,62,94
US,Pinot Noir,49,94
France,Red Blend,25,94
US,Cabernet Sauvignon,95,94
US,Chardonnay,55,94
France,Tannat-Cabernet,40,94
US,Pinot Noir,68,94
US,Pinot Noir,90,94
France,Malbec-Merlot,25,93
US,Pinot Noir,60,93
US,Cabernet Sauvignon,85,93
US,Pinot Noir,60,93
Spain,Tempranillo,64,93
US,Syrah,55,93
US,Pinot Noir,48,93
US,Zinfandel,40,93
US,Chardonnay,60,93
US,Cabernet Sauvignon,120,93
US,Cabernet Sauvignon,100,93
US,Zinfandel,34,93
Spain,Red Blend,91,93
US,Zinfandel,40,91
Portugal,Portuguese White,19,91
Italy,Pinot Grigio,26,91
US,Pinot Noir,45,91
Germany,Riesling,36,91
Germany,Riesling,23,91
Germany,Riesling,25,91
Germany,Scheurebe,21,91
Germany,Riesling,28,91
Italy,White Blend,41,91
US,Pinot Gris,26,91
US,Chardonnay,28,91
US,Chardonnay,38,91
US,Red Blend,44,91
US,Pinot Noir,45,91
Germany,Riesling,25,91
Germany,Riesling,38,91
Germany,Riesling,22,91
Germany,Riesling,26,91
Germany,Riesling,23,91
Germany,Riesling,23,91
US,Sauvignon Blanc,50,91
Italy,Sauvignon,21,91
Portugal,Portuguese Red,16,91
France,Chardonnay,60,91
Australia,Pinot Noir,20,90
Italy,Nebbiolo,75,90
Portugal,Portuguese Red,33,90
Italy,Nebbiolo,75,90
US,Bordeaux-style Red Blend,64,90
US,GewÃ¼rztraminer,18,90
Italy,Nebbiolo,75,90
Italy,Nebbiolo,42,90
Italy,Barbera,18,90
Spain,AlbariÃ±o,20,90
US,Pinot Noir,40,90
France,Malbec,25,90
Portugal,Portuguese White,19,90
US,GewÃ¼rztraminer,18,90
US,RhÃ´ne-style White Blend,30,90
France,Red Blend,13,90
France,Chardonnay,45,90
Germany,Riesling,30,90
US,Cabernet Sauvignon,111,90
Italy,Barbera,35,90
US,Tempranillo,32,90
Italy,Nebbiolo,88,90
US,Pinot Noir,57,90
US,Grenache,34,90
US,Chardonnay,24,90
Italy,Nebbiolo,45,90
Italy,Nebbiolo,74,90
Australia,Pinot Noir,42,88
Argentina,Malbec,25,88
France,Sauvignon Blanc,35,88
US,Meritage,45,88
France,Sauvignon Blanc,25,88
Italy,Nebbiolo,80,88
US,GewÃ¼rztraminer,22,88
France,Sauvignon Blanc,28,88
US,Pinot Noir,25,88
US,Pinot Noir,48,88
US,Viognier,19,88
Croatia,White Blend,19,88
Italy,Nebbiolo,77,88
US,Chardonnay,18,88
US,Pinot Noir,65,88
US,Chardonnay,25,88
US,Pinot Noir,48,88
Spain,Tempranillo,11,88
US,Cabernet Sauvignon,55,90
Spain,Sparkling Blend,35,90
Bulgaria,Mavrud,26,90
US,Chardonnay,46,90
US,Pinot Noir,55,90
US,Pinot Noir,27,90
US,Syrah,28,90
US,Sauvignon Blanc,36,90
US,Red Blend,48,90
US,Chardonnay,60,90
Canada,Riesling,24,90
US,Cabernet Franc,42,90
US,Zinfandel,39,90
US,Sauvignon Blanc,25,90
US,Bordeaux-style Red Blend,40,90
Slovenia,Ribolla Gialla,40,90
Spain,Palomino,26,90
Italy,Red Blend,25,90
US,Red Blend,18,86
South Africa,Sauvignon Blanc,35,86
Argentina,TorrontÃ©s,26,86
Argentina,Malbec-Cabernet Sauvignon,39,86
South Africa,Sauvignon Blanc,11,86
US,Red Blend,15,85
France,RosÃ©,9,85
France,Red Blend,16,85
Portugal,Portuguese Red,11,85
France,RosÃ©,12,85
France,Malbec,14,85
Italy,Garganega,10,85
Argentina,White Blend,13,85
Portugal,Portuguese Red,10,85
South Africa,Chardonnay,20,85
Argentina,Bordeaux-style Red Blend,30,85
Spain,Red Blend,50,85
South Africa,Sauvignon Blanc,16,85
France,RhÃ´ne-style Red Blend,11,85
Argentina,Sparkling Blend,15,85
US,Cabernet Sauvignon,65,85
Bulgaria,Chardonnay,9,85
Israel,Chardonnay,30,85
Spain,Red Blend,26,89
US,Riesling,25,89
US,Chardonnay,36,89
France,Gros Manseng,14,89
Italy,Red Blend,23,89
Italy,Red Blend,28,89
US,G-S-M,36,89
US,Pinot Noir,45,89
Italy,Red Blend,45,89
Chile,Syrah,20,89
US,Pinot Noir,28,89
Italy,Cabernet Franc,110,89
Chile,Cabernet Sauvignon,25,89
US,RosÃ©,18,89
US,Red Blend,39,89
Italy,Red Blend,90,89
Portugal,Portuguese Red,18,89
Portugal,Portuguese Red,7,89
Portugal,Portuguese Red,17,89
Chile,Sauvignon Blanc,17,89
France,White Blend,20,89
Italy,Sangiovese,87,87
US,Cabernet Sauvignon,28,87
US,Bordeaux-style Red Blend,36,87
France,Bordeaux-style Red Blend,35,87
France,Bordeaux-style Red Blend,30,87
US,Bordeaux-style Red Blend,28,87
Italy,Red Blend,20,87
US,Red Blend,32,87
US,Merlot,28,87
US,Syrah,26,87
US,Sauvignon Blanc,32,87
US,Cabernet Sauvignon,11,87
US,RhÃ´ne-style White Blend,26,87
US,Syrah,19,87
US,Red Blend,22,87
US,Bordeaux-style Red Blend,28,87
US,Pinot Blanc,28,87
US,Red Blend,25,87
US,GewÃ¼rztraminer,18,87
US,Cabernet Sauvignon,25,87
France,Bordeaux-style Red Blend,10,87
US,Cabernet Sauvignon,70,90
US,Riesling,25,90
Italy,Nerello Mascalese,36,90
Australia,Shiraz,65,90
US,Cabernet Sauvignon,50,90
US,MourvÃ¨dre,22,90
US,Barbera,26,90
US,Red Blend,80,90
Chile,Red Blend,24,90
Spain,Tempranillo Blend,21,90
US,RhÃ´ne-style Red Blend,50,90
US,Zinfandel,40,90
US,Syrah,22,90
Germany,Riesling,30,90
US,Cabernet Franc,50,90
US,Champagne Blend,37,90
US,Merlot,42,90
Spain,Sparkling Blend,25,90
France,Chardonnay,45,90
France,Romorantin,20,90
US,Pinot Noir,48,90
Bulgaria,Syrah,28,90
France,Pinot Noir,80,90
US,Pinot Noir,45,90
Spain,Godello,36,90
Italy,Sangiovese,22,90
Spain,Tempranillo,30,90
Italy,Red Blend,30,90
Italy,Sangiovese,22,90
Italy,Red Blend,28,90
US,Cabernet Sauvignon,40,90
Italy,Nebbiolo,113,92
France,Riesling,30,92
Italy,Nebbiolo,92,92
Italy,Nebbiolo,75,92
US,Zinfandel,50,92
US,Chardonnay,27,92
Italy,Pinot Nero,49,92
Portugal,Portuguese Red,11,92
Portugal,Portuguese Red,44,92
France,Riesling,24,92
US,Riesling,15,92
US,Syrah,35,92
US,Cabernet Sauvignon,33,92
US,Cabernet Sauvignon,75,92
US,RhÃ´ne-style Red Blend,40,92
Chile,Red Blend,100,92
US,Riesling,21,92
US,Red Blend,80,92
US,Cabernet Sauvignon,28,92
US,Chardonnay,40,92
Italy,White Blend,40,92
Italy,Red Blend,500,92
France,GewÃ¼rztraminer,55,92
Argentina,Malbec,40,93
US,Chardonnay,65,93
France,Tannat-Cabernet,65,93
US,Chardonnay,51,93
France,RosÃ©,50,93
France,RosÃ©,34,93
France,RosÃ©,30,93
France,RosÃ©,40,93
US,Sauvignon Blanc,45,93
US,Red Blend,32,93
US,Chardonnay,125,93
US,Cabernet Sauvignon,150,93
US,Syrah,60,93
US,Pinot Noir,70,93
Spain,Sherry,30,93
US,Pinot Noir,60,93
US,Sparkling Blend,80,93
France,Tannat-Merlot,25,93
US,Syrah,32,93
US,Pinot Noir,60,93
US,Chardonnay,45,93
US,Pinot Noir,60,93
US,Pinot Noir,80,93
US,Pinot Noir,85,93
France,Duras,18,89
Chile,Sauvignon Blanc,22,89
Spain,Garnacha,50,89
US,RhÃ´ne-style Red Blend,31,89
Germany,Pinot Gris,25,89
Italy,Red Blend,27,89
US,Sparkling Blend,25,89
Italy,Red Blend,22,89
US,Pinot Gris,18,89
Italy,Cabernet Sauvignon,65,89
Portugal,Tinta Francisca,60,89
Italy,Red Blend,52,89
US,RosÃ©,25,89
US,Cabernet Sauvignon,65,89
Italy,Red Blend,35,89
US,Pinot Noir,40,89
Portugal,Portuguese Red,18,89
Greece,White Blend,13,89
Portugal,Portuguese Red,18,90
US,Red Blend,40,90
Spain,Tempranillo Blend,35,90
Italy,Barbera,38,90
Israel,Cabernet Sauvignon,20,90
US,Pinot Noir,72,90
Germany,Riesling,60,90
US,Pinot Noir,44,90
Israel,Cabernet Sauvignon,15,90
Italy,Nebbiolo,70,90
Portugal,Portuguese White,30,90
US,Chardonnay,36,90
Israel,Red Blend,40,90
US,Pinot Noir,48,90
Italy,Nebbiolo,42,90
Italy,Nebbiolo,110,90
Italy,Nebbiolo,103,90
Italy,Nebbiolo,100,90
Italy,Nebbiolo,40,90
Italy,Nebbiolo,68,90
Spain,Tempranillo,24,90
Italy,Nebbiolo,52,90
Australia,Pinot Noir,65,90
US,Pinot Noir,37,90
US,Sparkling Blend,28,90
Portugal,Portuguese White,10,85
Portugal,Portuguese White,9,85
Portugal,Alicante Bouschet,7,85
Portugal,Portuguese Sparkling,12,85
France,Sauvignon Blanc,15,85
Portugal,Portuguese Sparkling,28,85
Portugal,Portuguese Sparkling,11,85
Portugal,Portuguese Red,7,85
Portugal,Portuguese Sparkling,8,85
Argentina,Malbec,12,85
France,RhÃ´ne-style White Blend,16,85
US,Cabernet Sauvignon,100,85
France,RosÃ©,16,85
France,Bordeaux-style White Blend,12,85
France,Chardonnay,15,85
Portugal,Portuguese Red,10,85
Portugal,Portuguese Red,9,85
Germany,Riesling,17,91
US,Pinot Noir,65,91
France,Gamay,24,91
Portugal,Portuguese Red,35,91
Portugal,Portuguese Red,17,91
Portugal,Portuguese Red,22,91
US,Pinot Noir,36,91
US,Syrah,43,91
Portugal,Portuguese Red,28,91
Portugal,Portuguese Red,75,91
Germany,Riesling,20,91
Portugal,Portuguese Red,30,91
Germany,Lemberger,24,91
Chile,Red Blend,100,91
Chile,Red Blend,30,91
Italy,Turbiana,26,91
US,Pinot Noir,65,91
Chile,Petit Verdot,100,91
Italy,Red Blend,30,91
US,Pinot Noir,48,91
Portugal,Petite Verdot,26,91
Portugal,Portuguese Red,16,91
US,Pinot Noir,42,91
Italy,Nebbiolo,60,88
US,Pinot Noir,20,88
US,Bordeaux-style Red Blend,72,88
Argentina,TorrontÃ©s,18,88
US,Bordeaux-style Red Blend,70,88
Argentina,Cabernet Franc,29,88
Portugal,Portuguese Red,35,88
Bulgaria,Pinot Noir,10,88
Argentina,TorrontÃ©s,12,88
Croatia,Posip,27,88
Romania,Pinot Noir,9,88
US,Pinot Noir,40,88
US,Pinot Noir,70,88
US,Merlot,34,87
US,Cabernet Sauvignon,38,87
US,Zinfandel,20,87
US,Nebbiolo,30,87
US,Cabernet Sauvignon,40,87
Spain,Monastrell,15,87
US,Syrah,23,87
Italy,White Blend,24,87
US,Bordeaux-style Red Blend,20,87
US,Riesling,20,87
US,Merlot,28,87
US,White Blend,22,87
US,Roussanne,28,87
US,Touriga Nacional,40,87
US,Cabernet Sauvignon,18,87
Spain,Tempranillo,15,90
Spain,Tempranillo Blend,20,90
US,MourvÃ¨dre,50,90
France,Pinot Noir,56,90
US,Grenache,42,90
Chile,Syrah,27,90
Germany,Riesling,30,90
US,Chardonnay,28,90
France,Pinot Noir,35,90
Germany,MÃ¼ller-Thurgau,19,90
France,Pinot Noir,70,90
US,Cabernet Sauvignon,90,90
US,Chardonnay,45,90
US,GewÃ¼rztraminer,25,90
France,Pinot Auxerrois,45,90
France,Pinot Blanc,21,90
US,Pinot Noir,22,90
US,Cabernet Franc,56,90
Slovenia,Ribolla Gialla,15,90
US,Chardonnay,40,90
US,Pinot Noir,85,90
US,Chardonnay,24,90
US,Malbec,24,90
Italy,Sangiovese,85,90
Moldova,Bordeaux-style Red Blend,32,90
US,Port,36,90
US,Riesling,20,90
India,Shiraz,13,90
US,Red Blend,20,90
US,Cabernet Sauvignon,75,90
US,Chardonnay,55,90
US,RosÃ©,35,90
France,Chardonnay,43,90
New Zealand,Chardonnay,46,93
France,Malbec,40,93
France,Tannat-Cabernet,20,93
US,Pinot Noir,55,93
US,Chardonnay,94,93
US,Syrah,40,93
US,Pinot Noir,37,93
US,Pinot Noir,44,93
US,Cabernet Sauvignon,50,93
Austria,Pinot Noir,27,93
US,Malbec,32,93
Argentina,Cabernet Blend,38,93
New Zealand,Sauvignon Blanc,33,93
New Zealand,Riesling,40,93
US,White Blend,36,93
US,Chardonnay,35,93
US,Pinot Noir,60,93
Spain,Tempranillo,37,93
Spain,Tempranillo Blend,44,93
Spain,Red Blend,136,93
France,RosÃ©,52,93
US,Chardonnay,48,93
Austria,Pinot Noir,19,93
US,Pinot Noir,65,93
US,Pinot Noir,50,90
US,Pinot Gris,32,90
Germany,Riesling,23,90
Israel,Cabernet Sauvignon,40,90
Portugal,Portuguese Red,13,90
US,Pinot Noir,50,90
Germany,Riesling,22,90
France,Chardonnay,141,90
US,Cabernet Sauvignon,100,90
Italy,Nebbiolo,102,90
Italy,Nebbiolo,80,90
Italy,Nebbiolo,35,90
Italy,Nebbiolo,55,90
Italy,Nebbiolo,50,90
Israel,Cabernet Franc-Cabernet Sauvignon,38,90
US,White Blend,26,90
France,Champagne Blend,65,90
Italy,Nebbiolo,70,90
US,Cabernet Sauvignon,50,90
US,Pinot Noir,60,90
US,Pinot Noir,20,90
US,RhÃ´ne-style White Blend,45,90
France,Riesling,34,92
US,Chardonnay,55,92
US,Chardonnay,34,92
Portugal,CastelÃ£o,17,92
France,Riesling,25,92
France,Riesling,30,92
France,Riesling,47,92
France,Riesling,49,92
Portugal,Portuguese Red,53,92
France,Bordeaux-style Red Blend,40,92
Italy,Nebbiolo,34,92
Italy,Nebbiolo,55,92
US,Syrah,60,92
US,Cabernet Sauvignon,100,92
US,Cabernet Franc,39,92
Portugal,Portuguese Red,25,92
US,Bordeaux-style Red Blend,42,92
US,Bordeaux-style Red Blend,65,92
Chile,CarmenÃ¨re,85,92
Portugal,Encruzado,35,92
US,Cabernet Sauvignon,100,92
US,Chardonnay,70,92
Portugal,Portuguese Red,25,92
Italy,Nebbiolo,65,92
Portugal,Touriga Nacional-Cabernet Sauvignon,15,85
South Africa,Sauvignon Blanc,15,85
France,RhÃ´ne-style White Blend,63,85
Argentina,Malbec,35,85
South Africa,Chenin Blanc,10,85
US,Sangiovese,32,85
US,Chardonnay,18,85
France,Colombard-Sauvignon Blanc,11,85
France,Malbec-Merlot,9,85
France,Malbec,12,85
US,Sauvignon Blanc,18,85
US,Zinfandel,52,85
Portugal,Portuguese Red,15,85
Portugal,Portuguese White,15,85
US,Cabernet Sauvignon,27,85
Spain,Moscatel,30,85
US,Chardonnay,15,85
France,Marsanne,13,85
US,Red Blend,25,85
France,Malbec,17,85
Portugal,Portuguese Red,10,85
Portugal,Portuguese White,7,85
Portugal,Portuguese Red,14,85
Italy,White Blend,10,85
France,White Blend,9,85
Portugal,Siria,10,85
US,Merlot,32,87
Italy,Sangiovese,55,87
US,BlaufrÃ¤nkisch,13,87
Italy,Red Blend,42,87
US,Cabernet Sauvignon,74,87
US,Cabernet Sauvignon,35,87
Argentina,Malbec,11,87
Argentina,Malbec,38,87
Argentina,Pinot Noir,18,87
Spain,Garnacha Blanca,10,87
Italy,Red Blend,40,87
US,Zinfandel,21,87
US,Sauvignon Blanc,18,87
Spain,Garnacha,34,89
Italy,Red Blend,32,89
US,Chardonnay,33,89
France,Red Blend,22,89
Portugal,Portuguese Red,12,89
France,Malbec,26,89
US,Pinot Noir,22,89
France,Red Blend,13,89
Germany,Riesling,45,89
Spain,Red Blend,25,88
Greece,Agiorgitiko,19,88
US,Sauvignon Blanc,20,88
US,Merlot-Cabernet Sauvignon,96,88
Italy,Red Blend,17,88
Italy,Red Blend,35,88
Portugal,Port,20,88
France,Malbec,18,88
US,Pinot Noir,34,88
US,Bordeaux-style Red Blend,66,88
